Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Jul 22 2020 02:09:19 GMT-0400 (Eastern Daylight Time)

Geography,Date,Syndrome,Percent
District of Columbia,2020-07-05,CLI,2.2
District of Columbia,2020-07-06,CLI,1.4
District of Columbia,2020-07-07,CLI,2
District of Columbia,2020-07-08,CLI,2.9
District of Columbia,2020-07-09,CLI,2.2
District of Columbia,2020-07-10,CLI,2.5
District of Columbia,2020-07-11,CLI,1.8
District of Columbia,2020-07-12,CLI,1.6
District of Columbia,2020-07-13,CLI,2.2
District of Columbia,2020-07-14,CLI,2.3
District of Columbia,2020-07-15,CLI,1.4
District of Columbia,2020-07-16,CLI,1.2
District of Columbia,2020-07-17,CLI,1.7
District of Columbia,2020-07-18,CLI,1.2
Florida,2020-05-23,CLI,1.6
Florida,2020-05-24,CLI,1.8
Florida,2020-05-25,CLI,2.1
Florida,2020-05-26,CLI,1.9
Florida,2020-05-27,CLI,1.7
Florida,2020-05-28,CLI,1.7
Florida,2020-05-29,CLI,2
Florida,2020-05-30,CLI,1.8
Florida,2020-05-31,CLI,1.6
Florida,2020-06-01,CLI,2
Florida,2020-06-02,CLI,1.9
Florida,2020-06-03,CLI,2
Florida,2020-06-04,CLI,2
Florida,2020-06-05,CLI,2
Florida,2020-06-06,CLI,2.1
Florida,2020-06-07,CLI,2.4
Florida,2020-06-08,CLI,2.6
Florida,2020-06-09,CLI,2.4
Florida,2020-06-10,CLI,2.5
Florida,2020-06-11,CLI,2.6
Florida,2020-06-12,CLI,2.9
Florida,2020-06-13,CLI,2.9
Florida,2020-06-14,CLI,3.2
Florida,2020-06-15,CLI,3.5
Florida,2020-06-16,CLI,4.1
Florida,2020-06-17,CLI,4.4
Florida,2020-06-18,CLI,4.4
Florida,2020-06-19,CLI,4.8
Florida,2020-06-20,CLI,4.9
Florida,2020-06-21,CLI,5.5
Florida,2020-06-22,CLI,5.9
Florida,2020-06-23,CLI,6.1
Florida,2020-06-24,CLI,6.6
Florida,2020-06-25,CLI,6.9
Florida,2020-06-26,CLI,6.8
Florida,2020-06-27,CLI,7.5
Florida,2020-06-28,CLI,7.6
Florida,2020-06-29,CLI,8.3
Florida,2020-06-30,CLI,8.3
Florida,2020-07-01,CLI,8.6
